#,Alias,Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Derechos Reconocidos Netos
,,10000,SOBRE LA RENTA,5942760,0,5942760,4972217.15
,,11200,DE NATURALEZA RUSTICA,1800,0,1800,1381.27
,,11300,DE NATURALEZA URBANA,48175000,0,48175000,53325253.26
,,11400,BIENES INMUEBLES DE CARACTERÍSTICA ESPECIALES,2900000,0,2900000,2320618.53
,,11500,IMPUESTO SOBRE VEHICULOS TRACCION MECANICA,13300000,0,13300000,12154390.74
,,11600,IMPUESTO INCREMENTO VALOR TERRENOS NATURALEZA URBANA,4300000,0,4300000,4877718.37
,,13000,IMPUESTO SOBRE ACTIVIDADES ECONÓMICAS,11450000,0,11450000,11405226.53
,,18000,IMPUESTOS DIRECTOS EXTINGUIDOS,1,0,1,1132.02
,,21000,SOBRE EL VALOR AÑADIDO,2773590,0,2773590,2707061.53
,,22000,Impuesto sobre el alcohol y bebidas derivadas.,49860,0,49860,31360.83
,,22001,Impuesto sobre la cerveza.,15140,0,15140,11165.43
,,22003,Impuesto sobre las labores del tabaco.,508350,0,508350,273499.98
,,22004,Impuesto sobre hidrocarburos.,764580,0,764580,403744.6
,,22006,Impuesto sobre productos intermedios.,1370,0,1370,749.76
,,29000,"IP.SOBRE CONSTRUC., INSTALAC. Y OBRAS",5700000,0,5700000,3871085.39
,,30100,SERV. ALCANTARILLADO Y DEPURACIÓN AGUAS,2828318.2,0,2828318.2,2684404.16
,,30201,RECOGIDA DE BASURA EN VIVIENDAS,5300000,0,5300000,7698514.88
,,30202,R.BASURAS ACTIV. EMPRESARIALES Y PROFESIONALES,2500000,0,2500000,2502269.08
,,30300,SERVICIO TRATAMIENTO RESIDUOS,3200000,0,3200000,1179900.65
,,30901,SERVICIOS FÚNEBRES Y DE CEMENTERIOS,1285000,0,1285000,909003.91
,,30902,EXTINCIÓN DE INCEDIOS Y SALVAMENTOS,74100,0,74100,122095.34
,,30903,ING.RECARGO MUNICIPAL S/CONSUMO DE AGUA,1,0,1,0
,,31102,TASA SERVICIOS SANIDAD PREVENTIVA,20085,0,20085,2237.4
,,31104,SERVICIO DE AYUDA A DOMICILIO,1000000,0,1000000,267137.06
,,31300,UTILIZACION INSTALAC.DEPORTIVAS MPLES.,247155,0,247155,217776.88
,,31901,UTILIZACION INSTALACIONES CASA CIENCIAS,124630,0,124630,91009
,,31902,UTILIZACION INSTALACIONES M.ARQUEOLOGICO,85000,0,85000,34137
,,31903,UTILIZACION INSTALACIONES DE LA DOMUS,188490,0,188490,113983
,,31904,UTILIZACION INSTALACIONES DEL AQUARIUM,1100000,0,1100000,811202
,,32100,LICENCIAS URBANÍSTICAS,2700000,0,2700000,1268530.41
,,32200,CEDULAS DE HABITABILIDAD Y LICENCIAS DE PRIMERA OCUPACIÓN,1318400,0,1318400,528901.99
,,32301,LICENCIAS DE APERTURAS,500000,0,500000,210749.58
,,32500,TRAMITACIÓN Y EXPEDICIÓN DE DOCUMENTOS,650000,0,650000,518372.26
,,32600,"RET., TRASLAD. Y DEPÓS. VEHICULOS",1000000,0,1000000,602250.8
,,32901,SERV.ESPEC. VIGILANCIA  ESPECTÁCULOS Y TRANSPORTES,17541.27,0,17541.27,29749.58
,,32902,LICENCIAS UTILIZACION SERV.URBANOS DE TRANSPORTE,85000,0,85000,122722.43
