#,Alias,Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Derechos Reconocidos Netos
,,10000,SOBRE LA RENTA,6003650.07,0,6003650.07,3974478.46
,,11200,DE NATURALEZA RUSTICA,1480.29,0,1480.29,1179.01
,,11300,DE NATURALEZA URBANA,59400000,0,59400000,56462734.61
,,11400,BIENES INMUEBLES DE CARACTERÍSTICA ESPECIALES,3291748.48,0,3291748.48,3260079.12
,,11500,IMPUESTO SOBRE VEHICULOS TRACCION MECANICA,11800000,0,11800000,14484376.95
,,11600,IMPUESTO INCREMENTO VALOR TERRENOS NATURALEZA URBANA,6200000,0,6200000,5829670.36
,,13000,IMPUESTO SOBRE ACTIVIDADES ECONÓMICAS,11700000,0,11700000,11386509.69
,,18000,IMPUESTOS DIRECTOS EXTINGUIDOS,1,0,1,0
,,21000,SOBRE EL VALOR AÑADIDO,3843243.37,0,3843243.37,2451162.27
,,22000,Impuesto sobre el alcohol y bebidas derivadas.,55058.84,0,55058.84,36452.21
,,22001,Impuesto sobre la cerveza.,17491.33,0,17491.33,11660.88
,,22003,Impuesto sobre las labores del tabaco.,522139.56,0,522139.56,348093.04
,,22004,Impuesto sobre hidrocarburos.,808058.36,0,808058.36,538505.62
,,22006,Impuesto sobre productos intermedios.,1378.02,0,1378.02,918.72
,,29000,"IP.SOBRE CONSTRUC., INSTALAC. Y OBRAS",3600000,0,3600000,1051359.68
,,30100,SERV. ALCANTARILLADO Y DEPURACIÓN AGUAS,2945900,0,2945900,1741964.93
,,30201,RECOGIDA DE BASURA EN VIVIENDAS,8000000,0,8000000,5392681.74
,,30202,R.BASURAS ACTIV. EMPRESARIALES Y PROFESIONALES,2350000,0,2350000,2462573.12
,,30300,SERVICIO TRATAMIENTO RESIDUOS,1200000,0,1200000,1183320.97
,,30901,SERVICIOS FÚNEBRES Y DE CEMENTERIOS,963000,0,963000,723722.59
,,30902,EXTINCIÓN DE INCEDIOS Y SALVAMENTOS,54000,0,54000,30417.05
,,30903,ING.RECARGO MUNICIPAL S/CONSUMO DE AGUA,1,0,1,0
