#,Alias,Eco.,Descripción,Previsiones Iniciales,Total Modificaciones,Previsiones totales,Derechos Reconocidos Netos
,,10000,SOBRE LA RENTA,6003650.07,,6003650.07,4968874.6
,,11200,DE NATURALEZA RUSTICA,1480.29,,1480.29,1179.01
,,11300,DE NATURALEZA URBANA,59400000.0,,59400000.0,56499141.26
,,11400,BIENES INMUEBLES DE CARACTERÍSTICA ESPECIALES,3291748.48,,3291748.48,3260079.12
,,11500,IMPUESTO SOBRE VEHICULOS TRACCION MECANICA,11800000.0,,11800000.0,14503773.97
,,11600,IMPUESTO INCREMENTO VALOR TERRENOS NATURALEZA URBANA,6200000.0,,6200000.0,7051948.21
,,13000,IMPUESTO SOBRE ACTIVIDADES ECONÓMICAS,11700000.0,,11700000.0,11394364.28
,,18000,IMPUESTOS DIRECTOS EXTINGUIDOS,1.0,,1.0,
,,21000,SOBRE EL VALOR AÑADIDO,3843243.37,,3843243.37,3072206.43
,,22000,Impuesto sobre el alcohol y bebidas derivadas.,55058.84,,55058.84,45572.31
,,22001,Impuesto sobre la cerveza.,17491.33,,17491.33,14576.1
,,22003,Impuesto sobre las labores del tabaco.,522139.56,,522139.56,435116.3
,,22004,Impuesto sobre hidrocarburos.,808058.36,,808058.36,673137.58
,,22006,Impuesto sobre productos intermedios.,1378.02,,1378.02,1148.4
,,29000,"IP.SOBRE CONSTRUC., INSTALAC. Y OBRAS",3600000.0,,3600000.0,1412003.6
,,30100,SERV. ALCANTARILLADO Y DEPURACIÓN AGUAS,2945900.0,,2945900.0,2147153.21
,,30201,RECOGIDA DE BASURA EN VIVIENDAS,8000000.0,,8000000.0,6626113.96
,,30202,R.BASURAS ACTIV. EMPRESARIALES Y PROFESIONALES,2350000.0,,2350000.0,2531207.05
,,30300,SERVICIO TRATAMIENTO RESIDUOS,1200000.0,,1200000.0,1224446.59
,,30901,SERVICIOS FÚNEBRES Y DE CEMENTERIOS,963000.0,,963000.0,765602.27
,,30902,EXTINCIÓN DE INCEDIOS Y SALVAMENTOS,54000.0,,54000.0,58904.0
,,30903,ING.RECARGO MUNICIPAL S/CONSUMO DE AGUA,1.0,,1.0,
,,31102,TASA SERVICIOS SANIDAD PREVENTIVA,5246.73,,5246.73,5079.96
,,31104,SERVICIO DE AYUDA A DOMICILIO,500754.18,,500754.18,397305.67
,,31300,UTILIZACION INSTALAC.DEPORTIVAS MPLES.,220000.0,,220000.0,202952.11
,,31901,UTILIZACION INSTALACIONES CASA CIENCIAS,100000.0,,100000.0,112655.76
,,31902,UTILIZACION INSTALACIONES M.ARQUEOLOGICO,55000.0,,55000.0,59870.0
,,31903,UTILIZACION INSTALACIONES DE LA DOMUS,120000.0,,120000.0,94277.36
,,31904,UTILIZACION INSTALACIONES DEL AQUARIUM,840000.0,,840000.0,847691.42
,,32100,LICENCIAS URBANÍSTICAS,900000.0,,900000.0,401794.51
,,32200,CEDULAS DE HABITABILIDAD Y LICENCIAS DE PRIMERA OCUPACIÓN,300000.0,,300000.0,47820.11
,,32301,LICENCIAS DE APERTURAS,300000.0,,300000.0,140791.36
,,32500,TRAMITACIÓN Y EXPEDICIÓN DE DOCUMENTOS,547000.0,,547000.0,377947.31
,,32600,"RET., TRASLAD. Y DEPÓS. VEHICULOS",1000000.0,,1000000.0,901973.69
,,32901,SERV.ESPEC. VIGILANCIA  ESPECTÁCULOS Y TRANSPORTES,12000.0,,12000.0,1108.68
,,32902,LICENCIAS UTILIZACION SERV.URBANOS DE TRANSPORTE,100000.0,,100000.0,82252.62
,,32904,MERCADOS MUNICIPALES,450000.0,,450000.0,152093.22
,,32905,ESTACION DE AUTOBUSES,500000.0,,500000.0,
,,32906,INDUSTRIAS CALLEJERAS Y AMBULANTES,50000.0,,50000.0,42197.42
,,33000,TASA DE ESTACIONAMIENTO DE VEHICULOS,2850092.17,685732.21,3535824.38,4211192.35
,,33100,TASA POR ENTRADA DE VEHICULOS,2500000.0,,2500000.0,2048325.87
,,33200,UTILIZAC.PRIVATIVA O APROV.ESP.POR EMP.DE SERV.DE SUMINIST,4650000.0,,4650000.0,3514386.27
,,33300,UTILIZ.PRIVAT.O APROV.ESPEC.POR EMP.SERV.TELECOMUNICACIONES,600000.0,,600000.0,684553.91
,,33400,TASA POR APERTURA DE CALAS Y ZANJAS,25000.0,,25000.0,78528.05
,,33500,TASA POR OCUPACION DE LA VIA PUBLICA CON TERRAZA,195000.0,,195000.0,19155.4
,,33600,OCUP. DE VIA PUBLICA CON SUSPENSION  DEL TRAFICO RODADO,400000.0,,400000.0,377411.67
,,33700,APROVECHAMIENTO VUELO TERRENOS USO PUBLICO LOCAL,2700.0,,2700.0,
,,33800,COMPENSACION TELEFONICA DE ESPAÑA S.A.,1000000.0,,1000000.0,742777.3
,,33901,"OCUP.TERR.USO PUB. MERCANCIAS,ESCOMBROS,VALLAS,ANDAMIOS...",450000.0,,450000.0,235932.42
,,33902,OCUPACION TERRENOS USO PUBLICO CON KIOSCOS,35000.0,,35000.0,15171.04
,,33903,OCUPACION TERRENOS USO PUBLICO CON PUESTOS Y BARRACAS,11000.0,,11000.0,12887.96
,,33904,OCUPACION TERRENOS USO PUB. DEPOSITOS Y APARATOS DISTRIBUC.,17000.0,,17000.0,28438.07
,,33905,APROVECHAMIENTO SUBSUELO DE TERRENOS DE USO PUBLICO LOCAL,500.0,,500.0,
,,34401,"SERVICIOS PRESTADOS EN INSTALAC. CULTURALES, EDUCATIVAS...",75000.0,,75000.0,62803.16
,,34901,PRESTACION SERVICIOS DEL CENTRO DE PROCESO DE DATOS,3000.0,,3000.0,1774.18
,,34902,UTILIZACION BIENES PROPIEDAD MUNICIPAL,500.0,,500.0,
,,34904,PRESTACION SERVICIOS EN EL CENTRO MUNICIPAL DE EMPRESAS,25019.54,,25019.54,23035.57
,,35100,C.E.PARA ESTABLEC.O AMPLIAC.DE SERVICIOS,930500.0,208352.51,1138852.51,
,,36001,"VENTA ENVASES LIGEROS, PAPEL Y OTROS RESIDUOS",2000000.0,,2000000.0,2152218.93
,,36002,VENTAS ENERGÍA,630000.0,,630000.0,
,,36100,VENTA DE PUBLICACIONES,30000.0,,30000.0,304.3
,,36200,VENTA DE OBJETOS CASA DE LAS CIENCIAS,1.0,,1.0,
,,36201,VENTA DE OBJETOS MUSEO ARQUEOLÓGICO,1.0,,1.0,
,,38900,OTROS REINTEGROS DE OPERACIONES CORRIENTES,310000.0,,310000.0,519233.31
,,39100,Multas por infracciones urbanísticas.,50000.0,,50000.0,42801.0
,,39110,Multas por infracciones tributarias y análogas.,500000.0,,500000.0,108867.05
,,39120,Multas por infracciones de la Ordenanza de circulación.,4200000.0,,4200000.0,2114567.3
,,39190,Otras multas y sanciones.,200000.0,,200000.0,139306.4
,,39200,Recargo por declaración extemporánea sin requerimi. Previo,55000.0,,55000.0,34711.63
,,39210,Recargo ejecutivo.,100000.0,,100000.0,83665.7
,,39211,Recargo de apremio.,700000.0,,700000.0,433444.98
,,39300,PRODUCTO DE LOS INTERESES DE DEMORA,600000.0,,600000.0,131197.84
,,39610,Cuotas de urbanización.,5952843.71,691596.47,6644440.18,5693.9
,,39700,Canon por aprovechamientos urbanísticos.,1.0,,1.0,
,,39710,Otros ingresos por aprovechamientos urbanísticos.,1.0,,1.0,
,,39901,RECURSOS EVENTUALES,500000.0,,500000.0,884445.21
,,39902,INGRESOS DEL ESTADO POR EL CENSO ELECTORAL,2575.0,,2575.0,
,,39903,ALCANCES,1.0,,1.0,
,,39904,INGRESOS POR PUBLICACIONES DE ANUNCIOS,30000.0,,30000.0,26136.04
,,39905,INGRESOS POR ACCIONES SUBSIDIARIAS,1.0,22749.42,22750.42,62585.63
,,39907,DERECHOS DE EXAMEN,1.0,,1.0,
,,39908,PREMIO COBRANZA RECARGO PROVINCIAL IAE,95000.0,,95000.0,83361.77
,,42010,Fondo Complementario de Financiación.,56433341.98,,56433341.98,49438887.89
,,42020,Compensación por beneficios fiscales.,350000.0,,350000.0,
,,42090,Otras transf corrientes de la Admón General del Estado.,88550.0,62594.0,151144.0,158636.21
,,42091,OTRAS TRANSFERENCIAS: DEFICIT TRANSPORTE URBANO,1500000.0,,1500000.0,
,,42190,TRANSFERENCIAS CORRIENTES DE OTROS OOAA Y AGENCIAS,1.0,85801.0,85802.0,164912.44
,,42390,"De soci merc estat,entid públic empr y otros organ públicos",1.0,,1.0,
,,42392,DE EMP. PÚB. Y OTROS ENTES PÚB. SDAD.ESTATAL DE CONMEM. CULT,1.0,,1.0,
,,42393,DE E. PUB Y OT.ENTES PUB.DEL EDO: AUTORIDAD PORTUARIA CORUÑA,1.0,,1.0,
,,44100,DE EMPRESAS DE LA ENTIDAD LOCAL,1.0,32150.79,32151.79,74000.0
,,45000,Participación en tributos de la Comunidad Autónoma.,6430368.0,,6430368.0,5415394.13
