#,Alias,Org.,Pro.,Eco.,Descripción,Créditos Iniciales,Modificaciones de Crédito,Créditos Totales consignados,Obligaciones Reconocidas
,,10,912,10000,Retribuciones básicas.,728599.74,-39984.92,688614.82,728401.61
,,10,912,15000,PRODUCTIVIDAD,90000.0,106000.0,196000.0,193450.32
,,10,912,16000,SEGURIDAD SOCIAL,124481.55,54000.0,178481.55,133117.58
,,10,912,22104,Vestuario.,5400.0,,5400.0,2484.0
,,10,912,22601,Atenciones protocolarias y representativas.,67252.0,-20000.0,47252.0,8315.35
,,10,912,22606,"Reuniones, conferencias y cursos.",40000.0,-13000.0,27000.0,11991.8
,,10,912,22699,Otros gastos diversos,50000.0,,50000.0,23603.81
,,10,912,22706,Estudios y trabajos técnicos.,27000.0,-10000.0,17000.0,6128.1
,,10,912,22799,Otros trabajos realizados por otras empresas y profes.,10800.0,,10800.0,11800.63
,,10,912,23000,De los miembros de los órganos de gobierno.,40000.0,-12000.0,28000.0,11529.24
,,10,912,23100,De los miembros de los órganos de gobierno.,35000.0,,35000.0,16501.33
,,10,912,48923,DOTACION ECONOMICA GRUPOS POLITICOS MUNICIPALES,62944.8,,62944.8,62944.8
,,10,920,22605,RELACIONES PUBLICAS,124000.0,-29400.0,94600.0,26580.62
,,10,920,2260511,REM./11 RELACIONES PUBLICAS,,,,
,,10,922,48918,CUOTAS ASOCIACIONES MUNICIPIOS (FEMP...),88000.0,,88000.0,65900.99
,,10,924,22634,GTOS.ESTABLECIM Y FUNCIONAMIENTO DEL CONSEJO SOCIAL CORUÑES,6000.0,,6000.0,
,,20,011,31000,INTERESES,2088797.67,-70000.0,2018797.67,1578928.89
,,20,011,31001,PREVISIÓN INTERESES PTMO. FINANC. PPTO. EJERCICIO,78112.0,,78112.0,
,,20,011,31100,"GASTOS DE FORMALIZACION, MODIFICACION Y CANCELACION",,70000.0,70000.0,69500.0
,,20,011,35200,INTERESES DE DEMORA,21907.9,628.45,22536.35,57605.62
,,20,011,35900,OTROS GASTOS FINANCIEROS,,,,208.21
,,20,011,35901,GASTOS FINANCIEROS PARQUE OFIMATICO,51100.0,,51100.0,
